2024-09-30 13:01:21,527 [my_agent_code] INFO: Loading model from saved state.
2024-09-30 13:01:33,193 [my_agent_code] DEBUG: (np.int64(9), np.int64(9)), LEFT, 1, 2, 101, 17
2024-09-30 13:01:33,292 [my_agent_code] DEBUG: (np.int64(8), np.int64(9)), LEFT, 1, 2, 102, 17
2024-09-30 13:01:33,394 [my_agent_code] DEBUG: (np.int64(7), np.int64(9)), UP, 1, 2, 103, 17
2024-09-30 13:01:33,494 [my_agent_code] DEBUG: (np.int64(7), np.int64(8)), UP, 1, 2, 104, 17
2024-09-30 13:01:33,594 [my_agent_code] DEBUG: (np.int64(7), np.int64(7)), RIGHT, 1, 2, 105, 17
2024-09-30 13:01:33,695 [my_agent_code] DEBUG: (np.int64(8), np.int64(7)), RIGHT, 1, 2, 106, 17
2024-09-30 13:01:33,797 [my_agent_code] DEBUG: (np.int64(9), np.int64(7)), RIGHT, 1, 2, 107, 17
2024-09-30 13:01:33,896 [my_agent_code] DEBUG: (np.int64(10), np.int64(7)), RIGHT, 1, 2, 108, 17
2024-09-30 13:01:33,998 [my_agent_code] DEBUG: (np.int64(11), np.int64(7)), UP, 1, 2, 109, 17
2024-09-30 13:01:34,101 [my_agent_code] DEBUG: (np.int64(11), np.int64(6)), UP, 1, 2, 110, 17
2024-09-30 13:01:34,203 [my_agent_code] DEBUG: (np.int64(11), np.int64(5)), UP, 1, 2, 111, 17
2024-09-30 13:01:34,303 [my_agent_code] DEBUG: (np.int64(11), np.int64(4)), UP, 1, 1, 112, 18
2024-09-30 13:01:34,404 [my_agent_code] DEBUG: (np.int64(11), np.int64(3)), RIGHT, 1, 1, 113, 18
2024-09-30 13:01:34,503 [my_agent_code] DEBUG: (np.int64(12), np.int64(3)), RIGHT, 1, 1, 114, 18
2024-09-30 13:01:34,605 [my_agent_code] DEBUG: (np.int64(13), np.int64(3)), DOWN, 1, 1, 115, 18
2024-09-30 13:01:34,706 [my_agent_code] DEBUG: (np.int64(13), np.int64(4)), DOWN, 1, 1, 116, 18
2024-09-30 13:01:34,807 [my_agent_code] DEBUG: (np.int64(13), np.int64(5)), RIGHT, 1, 1, 117, 18
2024-09-30 13:01:34,906 [my_agent_code] DEBUG: (np.int64(14), np.int64(5)), RIGHT, 1, 1, 118, 18
2024-09-30 13:01:35,009 [my_agent_code] DEBUG: (np.int64(15), np.int64(5)), DOWN, 1, 1, 119, 18
2024-09-30 13:01:35,110 [my_agent_code] DEBUG: (np.int64(15), np.int64(6)), BOMB, 1, 0, 120, 19
2024-09-30 13:01:35,211 [my_agent_code] DEBUG: (np.int64(15), np.int64(6)), UP, 1, 0, 121, 19
